Tipo de fiscalizador,Ubicación,Conducta fiscalizada,Latitud,Longitud,COMUNA
Analítica de video,Av. Juan Bautista Alberdi 890,"semáforo rojo, senda peatonal",-34.6229296,-58.4405593,6
Analítica de video,AV. Rivadavia 4987,"semáforo rojo, senda peatonal",-34.6180948,-58.43609,6
Analítica de video,Rosario 21,"semáforo rojo, senda peatonal",-34.6183695,-58.4290076,6
Analítica de video,Av Gaona 2300,"semáforo rojo, senda peatonal",-34.6137044,-58.4594855,6
Analítica de video,Av. San Martí­n 1844,"semáforo rojo, senda peatonal",-34.6056573,-58.4545631,6
Analítica de video,Montevideo 300,Invasión de ciclovia,-34.6230642,-58.4405459,6
Analítica de video,Av. Corrientes 2676,Invasión de ciclovia,-34.6179844,-58.4361597,6
Analítica de video,Billinghurst 301,Invasión de ciclovia,-34.61822,-58.429025,6
Analítica de video,AMENABAR 2209,Invasión de ciclovia,-34.6137044,-58.4594855,6
Analítica de video,Av. Rivadavia 7218,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.6056573,-58.4545631,6
Cinemómetro,Av. Gaona 1852,Exceso de velocidad,-34.611735,-58.454193,6
Cinemómetro,Av. Juan B. Alberdi 1260,Exceso de velocidad,-34.624328,-58.445799,6
Cinemómetro,Av. Pedro Goyena 805,Exceso de velocidad,-34.62622,-58.439244,6
Analítica de video,Av. Juan B. Justo 3969,"semáforo rojo, senda peatonal, Giro indebido",-34.6041664,-58.458205,15
Analítica de video,Av. Cordoba 6287,semáforo rojo,-34.582832,-58.4485977,15
Analítica de video,Av. Cordoba 4570,"semáforo rojo, senda peatonal",-34.5945194,-58.4297659,15
Analítica de video,Av. Cordoba 4471,"semáforo rojo, senda peatonal",-34.5950856,-58.4288221,15
Analítica de video,Av. Francisco Beiró 2875,"semáforo rojo, senda peatonal",-34.5947753,-58.4941256,15
Analítica de video,Av. Corriente 6210,"semáforo rojo, senda peatonal",-34.5915862,-58.447969,15
Analítica de video,Av. Corrientes 5220,"semáforo rojo, senda peatonal",-34.59987,-58.4390869,15
Analítica de video,Av. Córdoba 3907,Invasión de ciclovia,-34.6040577,-58.4583156,15
Analítica de video,Av. Corrientes 5694,Invasión de ciclovia,-34.5827315,-58.448532,15
Analítica de video,JOSE BONIFACIO 2501,Invasión de ciclovia,-34.59468,-58.4299651,15
Analítica de video,Av. Federico Lacroze 4199,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.5867518,-58.4552263,15
Analítica de video,Av. Forest 634,"semáforo rojo, senda peatonal, Doble fila, Uso de cinturón, uso de celular",-34.5849407,-58.4543749,15
Cinemómetro,Av. Estado de Israel 4488,Exceso de velocidad,-34.598505,-58.428523,15
Cinemómetro,Av. Estado de Israel 4496,Exceso de velocidad,-34.598505,-58.428523,15
Cinemómetro,Av. Elcano 4430,Exceso de velocidad,-34.587943,-58.463905,15
Cinemómetro,Av. De los Constituyentes 3264,Exceso de velocidad,-34.590602,-58.480313,15
Cinemómetro,Av. Juan B. Justo 2650,Exceso de velocidad,-34.595415,-58.445046,15
Cinemómetro,Av. Jorge Newbery 4733,Exceso de velocidad,-34.594573,-58.457205,15
Cinemómetro,Av. Honorio Pueyrredon 1815,Exceso de velocidad,-34.600777,-58.451289,15
