AAAA,SEMESTRE,N_VICTIMAS,Poblacion,%_homicidios,target,AAAA-SEMESTRE
2016,1,65,2904428,2.238,,2016 - 1
2016,2,81,2904428,2.789,2.014,2016 - 2
2017,1,69,2932760,2.353,2.51,2017 - 1
2017,2,71,2932760,2.421,2.118,2017 - 2
2018,1,70,2965571,2.36,2.179,2018 - 1
2018,2,79,2965571,2.664,2.124,2018 - 2
2019,1,57,3003186,1.898,2.398,2019 - 1
2019,2,47,3003186,1.565,1.708,2019 - 2
2020,1,31,3045943,1.018,1.409,2020 - 1
2020,2,50,3045943,1.642,0.916,2020 - 2
2021,1,55,3094197,1.778,1.478,2021 - 1
2021,2,42,3094197,1.357,1.6,2021 - 2
